NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;No;67.9603;1.08279;62.7640;32.0601;2482;1737.9395;81906;52640;2.2334;230;31;18;1321;1161;1386;1149;67747;45757;27925;43796
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;66.3475;1.04314;63.6036;31.3109;2424;1672.4759;79615;49863;2.2291;224;36;22;1260;1164;1294;1141;65849;43386;30251;45088
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;85;0.0000;8311;23;0.5080;15;5;0;50;35;41;1;8247;21;596;610
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;183.5250;62.1161;44;6824.3100;4131;703;1.3072;32;1;8;32;12;32;10;2715;498;101;166
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;--;;;0.0000;0.0000;88;0.0000;8291;21;0.5337;16;6;0;50;38;43;1;8225;19;604;621
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;Si;;;186.3485;57.8809;41;6930.1898;4294;615;1.3496;24;1;6;32;9;35;7;2701;411;102;165
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;65.7063;1.01209;64.9211;30.3938;2353;1616.9971;78869;46314;2.2318;226;31;26;1208;1145;1233;1120;65143;40289;31166;46640
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;63.9009;0.975165;65.5282;30.0192;2324;1601.2511;78533;45431;2.2526;233;29;29;1202;1122;1242;1108;64845;39479;31385;46909
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;86;0.0000;8206;23;0.5517;16;7;0;50;36;44;1;8136;21;621;619
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;183.5250;56.4692;40;6924.5429;4270;635;1.2524;28;1;5;32;8;33;6;2686;428;101;163
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;--;;;0.0000;0.0000;91;0.0000;8264;22;0.6335;20;7;0;56;35;51;1;8188;20;629;624
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;Si;;;187.7602;57.8809;41;6913.2491;4267;630;1.3175;32;1;4;33;8;35;6;2686;426;103;165
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;61.4443;0.931981;65.9287;29.9417;2318;1597.8281;79237;44462;2.2517;241;28;32;1196;1122;1247;1095;65416;38594;32283;48176
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;--;;;0.0000;0.0000;96;0.0000;8507;18;0.6513;17;5;0;58;38;54;1;8429;16;718;643
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;Si;;;182.1133;83.2921;59;7324.0629;4607;581;1.6954;44;1;7;50;9;50;7;2953;409;99;150
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;No;58.8938;0.871608;67.5691;29.5025;2284;1629.3587;82144;43996;2.2105;255;32;30;1196;1088;1278;1065;67859;38133;37467;49877
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;59.6724;0.856762;69.6488;30.3034;2346;1613.3028;83413;41484;2.2854;264;35;29;1242;1104;1308;1086;68806;35947;39407;49886
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;--;;;0.0000;0.0000;107;0.0000;8555;14;0.7189;19;4;0;67;40;60;1;8473;12;720;658
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;Si;;;179.2898;98.8212;70;8155.5728;5242;535;1.7824;41;1;11;60;10;59;8;3368;391;88;118
